# パラメータによる座標・標高補正ソフトウェア PatchJGD HV Ver.1.1.0.0
# 入力ファイル名: input.txt
# 補正区分: 標高成分のみ
# パラメータファイル名: hyokorevBM_jgd2024_h.par
# 系番号: 10
# 世界測地系の緯度/経度      変動前の標高(入力値)  変動後の標高(計算値)
# X            Y             標高                  標高                  コメント
# m            m             m                     m
# 行末に「-9999.」がある行は、補正されなかった行です。
#-------------------------------------------------------------------------------
22550.1608 -48571.3104 22.4400 22.2169 
22681.9202 -48451.1024 22.6480 22.4247 
22770.0957 -48264.9081 22.7800 22.5564 
22819.7676 -48056.2578 22.9150 22.6911 
22871.5106 -47832.8861 23.1530 22.9288 
22781.1178 -47509.2559 17.6860 17.4614 
22733.8865 -47299.6855 21.4260 21.2009 
22949.7809 -47295.6438 19.4220 19.1969 
23106.1034 -47179.0571 22.7500 22.5246 
23400.1872 -47091.0117 19.0520 18.8262 
23350.0485 -46895.4438 18.9980 18.7718 
23434.3741 -46708.4402 19.1560 18.9293 
23329.3678 -46579.0641 19.2110 18.9841 
23275.3777 -46462.1402 19.3060 19.0788 
23157.4259 -46286.5519 19.5770 19.3496 
23021.3962 -46147.4370 18.6410 18.4134 
22889.1609 -45964.3651 24.1510 23.9232 
22769.4463 -45756.0707 23.5940 23.3658 
22658.4701 -45572.2703 38.7180 38.4896 
22716.7015 -45314.0617 24.6440 24.4151 
22900.6261 -45160.6472 17.9470 17.7178 
23002.8010 -45052.1574 25.7760 25.5467 
23060.5932 -44821.0307 21.8800 21.6504 
23189.2177 -44677.3093 18.8950 18.6651 
23227.6289 -44464.9487 19.4820 19.2519 
23354.2396 -44345.1268 19.3380 19.1077 
23555.7438 -44231.4337 18.5000 18.2695 
23726.0144 -44136.4348 19.0400 18.8094 
23828.6430 -43998.1413 20.5110 20.2804 
23790.8497 -43756.6980 21.2570 21.0263 
23807.0117 -43659.6329 22.5170 22.2862 
23703.0104 -43549.2753 23.6320 23.4012 
23769.6910 -43322.2428 27.5140 27.2831 
23643.1475 -43147.9872 42.2970 42.0660 
23567.4556 -42920.2759 19.8600 19.6289 
23535.0315 -42773.5678 20.1940 19.9628 
23460.5746 -42560.4504 20.6800 20.4487 
23486.3897 -42307.4728 21.1090 20.8776 
23470.0077 -42033.9272 22.5200 22.2885 
23472.2048 -41882.3483 22.7720 22.5404 
23478.1825 -41825.6044 22.8410 22.6094 
23491.0283 -41699.1557 23.0620 22.8304 
23484.9751 -41519.7953 22.9310 22.6993 
23427.8486 -41337.4454 23.4020 23.1702 
23435.8853 -41141.2112 22.2530 22.0211 
23249.2473 -40953.8985 23.6990 23.4668 
23395.0414 -40708.1651 27.0970 26.8647 
23421.3193 -40459.9573 26.9630 26.7305 
23572.1540 -40303.4910 27.2980 27.0654 
23701.3648 -40125.2266 27.3110 27.0783 
23819.1555 -39954.6557 31.5370 31.3042 
23952.4378 -39802.2413 28.1160 27.8831 
24065.8051 -39643.6550 28.1250 27.8919 
24164.4136 -39470.9615 28.6060 28.3728 
24237.9861 -39309.3490 28.9170 28.6836 
24304.6120 -39101.9577 29.0380 28.8044 
24356.9029 -38923.0640 29.2940 29.0602 
24406.7360 -38729.9968 27.1450 26.9109 
24493.4327 -38579.2584 26.5310 26.2967 
24569.8255 -38420.4902 44.7180 44.4835 
24647.2649 -38211.6487 44.3740 44.1392 
24777.1916 -37904.3726 44.6710 44.4358 
24879.9376 -37831.9651 24.1800 23.9447 
25052.7739 -37680.6806 43.8080 43.5725 
25266.7186 -37635.8861 25.6180 25.3825 
25452.0108 -37518.0994 26.8230 26.5874 
25640.3855 -37468.2985 30.4930 30.2573 
25828.2616 -37399.7979 30.4180 30.1822 
26006.1286 -37322.5001 30.5800 30.3442 
26175.0172 -37237.0811 30.8000 30.5641 
26375.9926 -37124.3720 44.5360 44.2999 
26549.1809 -37048.3259 31.5400 31.3038 
26709.9980 -36899.7549 28.6700 28.4336 
26922.1399 -36868.5971 38.5710 38.3346 
27070.8172 -36767.0288 42.6900 42.4534 
27246.9251 -36694.7271 39.8120 39.5753 
27429.4358 -36594.9422 43.9890 43.7521 
27626.3250 -36532.5014 38.6220 38.3850 
27734.6822 -36454.5653 42.3810 42.1439 
27908.4655 -36230.8382 34.0310 33.7933 
28140.5730 -36117.2921 29.5530 29.3151 
28388.3435 -36120.8781 34.3550 34.1171 
28544.2641 -36211.2217 33.9080 33.6703 
28745.3466 -36113.0096 34.3650 34.1271 
28933.9274 -36068.0864 31.2220 30.9840 
29086.8378 -36000.6754 31.1330 30.8948 
29080.7673 -35752.0613 32.9320 32.6931 
29080.8219 -35631.7587 35.0020 34.7628 
29080.9719 -35453.9116 36.3860 36.1464 
29018.2866 -35293.8558 36.4620 36.2220 
29006.7495 -35080.4548 35.5040 35.2635 
28962.6455 -34883.6805 36.4820 36.2410 
28899.9595 -34701.2800 35.8850 35.6436 
28905.9824 -34476.7535 33.1210 32.8794 
28893.0819 -34273.4261 32.8480 32.6063 
28904.6300 -34110.5203 33.1330 32.8912 
28900.2942 -33950.8168 44.3580 44.1161 
28981.2566 -33757.8119 33.5920 33.3500 
29093.1657 -33479.2808 46.0770 45.8348 
29238.6798 -33346.9716 33.2170 32.9748 
29422.3165 -33281.8818 36.9560 36.7138 
29616.7706 -33214.5615 37.3460 37.1038 
29706.4224 -33137.5244 37.4560 37.2138 
29753.4300 -33071.8437 37.7070 37.4648 
29805.4526 -32924.4657 37.9680 37.7257 
29810.0427 -32792.2568 39.9330 39.6905 
29848.5387 -32617.7833 38.1480 37.9054 
29874.0020 -32437.7713 38.5030 38.2602 
29892.6834 -32211.0197 36.0870 35.8439 
29854.1333 -32085.5029 37.3550 37.1117 
29791.9395 -31731.9482 42.3150 42.0712 
29879.0972 -31594.8777 43.9290 43.6851 
29867.7898 -31478.8719 43.2090 42.9649 
